1,Member,2250.00,750,1001,TRUE,10-11-12-13-14-15-24,
2,NonMember,500.00,700,500,TRUE,10-11-17-18-24,
3,Member,1500.00,750,1001,FALSE,10/11/2024,
4,NonMember,500.01,701,1000,TRUE,10-17-20-21-22-23-24,
5,Member,2250.01,750,1001,FALSE,10-11-12-24,
6,NonMember,500.01,700,1000,FALSE,10-17-20-24,
7,Member,2250.00,749,1001,FALSE,10-11-12-13-24,
8,NonMember,500.01,701,500,FALSE,10-17-20-21-24,
9,Member,2250.00,750,1000,FALSE,10-11-12-13-14-24,
10,NonMember,500.01,701,1001,FALSE,10-17-20-21-22-24,
11,Member,1500.01,750,1001,TRUE,-,other TT BV for stmts 11-15
12,NonMember,500.01,701,501,TRUE,-,other TT BV for stmts 17-23
13,Member,0.00,750,1001,FALSE,-,extreme range cart
14,Member,20000.00,750,1001,FALSE,-,extreme range cart
15,Member,2250.01,0,1001,FALSE,-,extreme range creditRating
16,Member,2250.01,850,1001,FALSE,-,extreme range creditRating
17,Member,2250.01,750,0,FALSE,-,extreme range points
18,Member,2250.01,750,2000,FALSE,-,extreme range points
